,district_name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Kachchh,37.8,44.3,56.7,35.2,41.2,32.1,60.2,32.2,32.7,27
2,Banas Kantha,50,47.5,67.8,27.2,26.3,43.1,46.2,27.8,16.1,20.5
3,Patan,91.3,91,85.7,69.9,48.9,40.6,32.5,33.8,24.4,33.5
4,Mahesana,60.3,75,83.9,77.5,70.8,72.8,49.3,41.7,47.6,40.6
5,Sabar Kantha,33.3,76.9,52.3,57.3,41.2,48.4,42.3,35.2,37.5,37.3
6,Gandhinagar,59.7,74.1,32,62.8,34.5,41.9,46.9,26.6,38,39.8
7,Ahmadabad,11.3,34.4,49.7,40.1,59,40.7,37.6,30.2,21.8,20.5
8,Surendranagar,51.9,57.3,74.1,52,59.3,37.9,64.9,32.3,39.3,25.9
9,Rajkot,29.2,54.3,53.9,31.8,46.8,52.7,29.6,38.2,62.1,26.3
10,Jamnagar,27.7,71.4,66.7,41.5,61.5,37.3,63.1,52.1,35.9,28.1
11,Porbandar,8.8,66.9,54.9,32.2,43.8,64.6,91.7,33.1,28.7,31.7
12,Junagadh,21.6,56.9,61,34.1,33.9,60.9,41.9,30.1,38.7,55.9
13,Amreli,17.9,75.3,64.7,42.6,43,57.4,54.9,39.7,35.4,27.9
14,Bhavnagar,43.1,42.1,48,27.6,30.4,42.8,47.8,42.5,33.2,28.4
15,Anand,32.8,60.3,60.1,NA,36.4,37.2,36.4,32.5,22.7,37.3
16,Kheda,18.2,81.3,45.7,33.1,43,44.2,33,26.9,18.6,21.7
17,Panch Mahals,38.9,67.6,46.4,34.5,28.6,59.3,38.3,32.9,23.1,25.1
18,Dohad,32.3,73.4,45.2,44.8,33.6,29.2,15.4,9.9,27.2,22.6
19,Vadodara,29.3,55.5,29.5,30,18.1,50,45.1,30,22.5,12.5
20,Narmada,45.9,81.6,34,16.5,26.1,23.3,36.3,11,20.5,7.6
21,Bharuch,48,51.9,51.5,44.9,35.4,44.3,25.9,26.9,21.5,13.9
22,The Dangs,82,72.1,36.3,22.9,28.1,37.5,32.1,23.2,21.2,15.6
23,Navsari,69.7,69.7,74.3,66.2,47,23.3,58,46.3,30.6,14.5
24,Valsad,52.6,62.2,40.8,25.1,43.8,49.4,51.5,39.5,37.2,40.2
25,Surat,79.7,77.1,47.9,53,67.6,61.3,NA,29.6,35,28.6
26,Tapi,NA,NA,NA,54.1,32.3,53.9,14.4,29.5,37.7,30.2
27,Total,NA,62.7,56,43.1,41.1,46.6,43.4,32.6,32.3,29.4
